Model,Scenario,Region,Variable,Unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
GCAM-PR 5.3,Current Policies,USA,Agricultural Demand,million t DM/yr,529.5846191,548.1154771,627.9543717,685.110975,709.5087637,700.9196176,705.2409976,706.3547574,709.000206,710.8105627,715.5715645,726.4872338,742.1615079,751.4021789,765.6903959,777.6650867,785.9570643,789.1909467,789.7183189,786.680361
GCAM-PR 5.3,Current Policies,World,Agricultural Demand,million t DM/yr,7023.033645,8130.010711,9005.614006,9661.033168,10137.60832,10517.79339,10845.31415,11127.0749,11443.54088,11788.37329,11989.29343,12134.01528,12276.94525,12387.72733,12599.02221,12780.28439,12913.77943,13002.17339,13027.55179,13046.90702
GCAM-PR 5.3,Current Policies,USA,Agricultural Demand Crops,million t DM/yr,38.20158,110.52803,183.5261,258.7505,253.67,211.0874,193.8448,172.0897,149.1342,131.0321,119.1147,114.9502,122.1949,127.951,139.0175,149.9401,156.8198,160.4188,162.4869,163.6999
GCAM-PR 5.3,Current Policies,World,Agricultural Demand Crops,million t DM/yr,246.9658236,516.4661656,714.5229729,924.5775321,950.1272214,890.9396479,872.6965023,848.6547575,915.0834356,1044.271551,1150.404323,1238.411107,1368.834943,1503.189948,1778.511023,2053.520818,2302.432336,2523.505776,2692.09508,2868.006255
GCAM-PR 5.3,Current Policies,USA,Agricultural Demand Crops,million t DM/yr,175.4642041,165.7505151,131.7766417,105.754578,120.3828677,143.6187896,156.1414186,170.8754154,189.177399,202.0985207,211.7171895,219.4526848,220.8020379,218.0459369,216.0947619,213.2328807,211.9488893,210.0399577,207.9275259,204.180754
GCAM-PR 5.3,Current Policies,World,Agricultural Demand Crops,million t DM/yr,891.3296785,920.0337915,909.4027876,912.0303379,981.8185905,1068.778541,1134.90169,1193.749315,1238.503675,1284.925199,1291.432729,1296.861578,1291.458638,1282.357204,1260.790387,1236.012581,1211.653374,1188.826149,1168.225729,1145.993557
GCAM-PR 5.3,Current Policies,USA,Agricultural Demand Crops,million t DM/yr,149.245701,148.820602,150.83948,154.672407,161.975386,167.247658,171.448979,175.253312,178.600717,181.794822,185.111365,188.571809,191.88565,194.769622,197.125564,198.873426,200.059995,200.691839,200.868123,200.490117
GCAM-PR 5.3,Current Policies,World,Agricultural Demand Crops,million t DM/yr,3068.743107,3370.897573,3547.037119,3795.042511,4005.190591,4204.692191,4352.755195,4487.742573,4601.851749,4700.254308,4746.019826,4773.471756,4783.456425,4776.08622,4754.314985,4719.121365,4673.38486,4618.15512,4556.807217,4488.824102
GCAM-PR 5.3,Current Policies,USA,Agricultural Demand Crops,million t DM/yr,153.089954,109.17163,147.12002,150.85201,157.52021,162.42108,166.81423,170.70541,174.22678,177.59545,181.00846,184.55261,187.99924,191.08709,193.67427,195.66981,197.06238,197.91728,198.30332,198.22265
GCAM-PR 5.3,Current Policies,World,Agricultural Demand Crops,million t DM/yr,2635.015521,3122.993954,3626.137147,3803.121146,3956.744042,4093.29777,4212.239083,4312.143205,4392.696603,4453.966139,4496.015904,4520.411671,4529.703899,4524.84204,4506.938743,4476.576026,4435.080051,4384.792595,4328.095161,4266.601686
