Text
"Scenario: Current Policies, Region: USA, Variable: Agricultural Demand, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Agricultural Demand, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Agricultural Demand Crops, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Agricultural Demand Crops, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Agricultural Demand Crops, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Agricultural Demand Crops, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Agricultural Demand Crops, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Agricultural Demand Crops, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Agricultural Demand Crops, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Agricultural Demand Crops, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Agricultural Demand Livestock, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Agricultural Demand Livestock, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Agricultural Demand Livestock, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Agricultural Demand Livestock, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Agricultural Demand Livestock, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Agricultural Demand Livestock, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
